baseline,horizon_frames,schedule_id,M0,M1,M2,M3,M4,macro_M0-M4,n_observed
chained_nearest,66,s8,0.5897849051785,0.6096361498143154,0.5873391306195059,0.5897486725117096,0.6091960957708877,0.5971409907789837,10
chained_nearest,66,s16,0.48889770256376913,0.5073260979523613,0.48563911773399276,0.4755355310172999,0.49213548411023933,0.4899067866755325,6
chained_nearest,66,s32,0.4006586023733143,0.41276454971505205,0.3979905441067105,0.3861360858815986,0.42390692837797206,0.40429134209092943,4
chained_nearest,66,s64,0.3319354273377285,0.3671467952232077,0.35078086780508116,0.3541033156952674,0.3814356526902,0.3570804117502969,3
chained_nearest,66,ends,0.32808796895155307,0.3638006250157451,0.34640031025845996,0.3448484606839685,0.37817284044309446,0.35226204107056425,2
chained_nearest,66,rand1,0.36365474124183544,0.3966520160157084,0.3687286375228252,0.37838240516429617,0.3947053385407354,0.3804246276970801,3
chained_nearest,66,rand3,0.42267543952036435,0.4332785758271624,0.4278167261250768,0.4185140887775701,0.4487226665822381,0.43020149936648233,5
chained_nearest,132,s1,0.6888800025569133,0.7092919273107408,0.7083429321968072,0.6934194761490304,0.6966077979505793,0.6993084272328142,133
chained_nearest,132,s2,0.6516706012652528,0.6601450371860107,0.6526621097183412,0.6561174846536445,0.6524788925993218,0.6546148250845143,67
chained_nearest,132,s4,0.5668075695359857,0.5786266967993348,0.5762793880472326,0.5692407786042736,0.5794397000161374,0.5740788266005927,34
chained_nearest,132,s8,0.47851557763369407,0.4896583522889735,0.4849766304259885,0.45432647359112943,0.4948895030055617,0.4804733073890694,18
chained_nearest,132,s16,0.3795713732337869,0.40005752474906375,0.3913714930639296,0.36508378878154557,0.38549911191780833,0.38431665834922685,10
chained_nearest,132,s32,0.29601416480785653,0.3196441116876544,0.316149960267614,0.29315002357602843,0.3371082264944671,0.3124132973667241,6
chained_nearest,132,s64,0.2512951918020017,0.3006709966777035,0.2808665369969412,0.26518566000204136,0.3038338358035363,0.2803704442564448,4
chained_nearest,132,s128,0.24848465975526438,0.27294244647138527,0.2757634730133991,0.2658287886736386,0.27296396153074537,0.2671966658888866,3
chained_nearest,132,ends,0.2406525386931566,0.2751575798696281,0.2738129180527478,0.2556714354524465,0.2717493726780489,0.2634087689492056,2
chained_nearest,132,rand1,0.24919128762744971,0.27920888594765575,0.2754412127917211,0.26272660918529395,0.2801694205034558,0.26934748321111524,3
chained_nearest,132,rand3,0.26535738346217497,0.3203830862955511,0.2960449032244925,0.28065187439122985,0.3106625457872064,0.294619958632131,5
chained_nearest_rc,33,s1,0.868771168927892,0.8979608431455919,0.8665543793540568,0.8608144324495498,0.873427821559745,0.8735057290873671,34
chained_nearest_rc,33,s2,0.8351269144785352,0.871531584367973,0.8264101873684587,0.8321458643926294,0.8517646423849373,0.8433958385985066,18
chained_nearest_rc,33,s4,0.797178233525648,0.8210301317311455,0.7700876724410022,0.7789445184098296,0.795529699418569,0.7925540511052389,10
chained_nearest_rc,33,s8,0.7367043591316444,0.7527360581622585,0.6921131145606861,0.6931522616120854,0.7025242073272779,0.7154460001587906,6
chained_nearest_rc,33,s16,0.6629904552708868,0.6907085206257274,0.5964501449303623,0.6308923768947945,0.5815375963633165,0.6325158188170176,4
chained_nearest_rc,33,s32,0.6178546071881286,0.6493483036746291,0.5688164270241896,0.5778207906643172,0.5300449428756835,0.5887770142853896,3
chained_nearest_rc,33,ends,0.6093985556749429,0.6518288579322387,0.5605426382657593,0.5695471321578652,0.5217265514171581,0.5826087470895928,2
chained_nearest_rc,33,rand1,0.6352305091995066,0.662787157397329,0.5833153476682311,0.6159799488316826,0.5473877469108005,0.6089401420015099,3
chained_nearest_rc,33,rand3,0.6797851409408422,0.7139045584072068,0.6366564158074565,0.6570156810964143,0.6376571049042888,0.6650037802312416,5
chained_nearest_rc,66,s1,0.7904753505164933,0.8307087497881521,0.7899969045417754,0.7765099566699323,0.7883105135622566,0.7952002950157221,67
chained_nearest_rc,66,s2,0.7486372738877486,0.7939635572632247,0.7473168117136879,0.7414771029818272,0.7702580602677932,0.7603305612228562,34
chained_nearest_rc,66,s4,0.715081360541066,0.7329678629022753,0.6799159396472012,0.6799552091011675,0.7028794530888943,0.7021599650561209,18
chained_nearest_rc,66,s8,0.6420877968899614,0.6617561824192064,0.5990537223988422,0.5820393251907463,0.578588827031891,0.6127051707861295,10
chained_nearest_rc,66,s16,0.5509739683827162,0.5890474632738706,0.47903548623899067,0.5169615056309186,0.4542722186038773,0.5180581284260747,6
chained_nearest_rc,66,s32,0.49210453662176334,0.5381124214190257,0.45572909854871163,0.45805843856383477,0.42260036166488074,0.4733209713636433,4
chained_nearest_rc,66,s64,0.4832487379733592,0.5110832541415435,0.47065049876422077,0.450571868573835,0.49078961760561923,0.4812687954117155,3
chained_nearest_rc,66,ends,0.4836480665670875,0.5123556878439176,0.46496876343206467,0.44371114155168456,0.4790940371091276,0.4767555393007764,2
chained_nearest_rc,66,rand1,0.4798066492956429,0.5252090362764176,0.4591450179563959,0.45357706387093105,0.4445902197386214,0.47246559742760175,3
chained_nearest_rc,66,rand3,0.509630217992133,0.5560964349656534,0.46360400197067897,0.4871874554867338,0.4357556353848886,0.4904547491600176,5
chained_nearest_rc,132,s1,0.6852418754157531,0.7246372874699016,0.6880009677071371,0.6494199497523389,0.6691028611191449,0.6832805882928552,133
chained_nearest_rc,132,s2,0.6279028691604741,0.6817382280115951,0.6413401606140078,0.6165144172714675,0.6568655387076917,0.6448722427530472,67
chained_nearest_rc,132,s4,0.5881784729279846,0.6244015846963369,0.5702598660446574,0.5512193566339717,0.581588614515093,0.5831295789636087,34
chained_nearest_rc,132,s8,0.5157195150353591,0.5457547676963216,0.48294910517730893,0.46400392151608977,0.457738444934909,0.4932331508719977,18
chained_nearest_rc,132,s16,0.4268766846198333,0.4922394291765072,0.3620099928107288,0.38470500736872326,0.3200572607278584,0.3971776749407302,10
chained_nearest_rc,132,s32,0.34898475734816947,0.41589404295293797,0.3291229212189109,0.32767941833676817,0.2969429690407391,0.34372482177950514,6
chained_nearest_rc,132,s64,0.3503552395061893,0.3765764542537363,0.3527780015519365,0.31671338584839787,0.36020918251485984,0.351326452735024,4
chained_nearest_rc,132,s128,0.3618150207800255,0.38957916362405176,0.3684697077874323,0.3427246029941456,0.3590685635244827,0.36433141174202754,3
chained_nearest_rc,132,ends,0.3557690654201119,0.38404967670174067,0.3710254119093801,0.3400410257368044,0.3559206445001845,0.3613611648536443,2
chained_nearest_rc,132,rand1,0.3486319472925082,0.38353671573528386,0.37030953090158275,0.32090805590567106,0.3599162027940937,0.3566604905258279,3
chained_nearest_rc,132,rand3,0.36315706026129657,0.4012172373509236,0.3677035117486572,0.3374529735053708,0.3171832334377814,0.35734280326080586,5
nearest_anchor,33,s1,0.49807329227206926,0.5049196882352944,0.48232894479902694,0.48339607470511653,0.5117670570914622,0.49609701142059387,34
nearest_anchor,33,s2,0.49807329227206926,0.5049196882352944,0.48232894479902694,0.48339607470511653,0.5117670570914622,0.49609701142059387,18
nearest_anchor,33,s4,0.49807329227206926,0.5049196882352944,0.48232894479902694,0.48339607470511653,0.5117670570914622,0.49609701142059387,10
nearest_anchor,33,s8,0.49807329227206926,0.5049196882352944,0.48232894479902694,0.48339607470511653,0.5117670570914622,0.49609701142059387,6
nearest_anchor,33,s16,0.49807329227206926,0.5049196882352944,0.48232894479902694,0.48339607470511653,0.5117670570914622,0.49609701142059387,4
nearest_anchor,33,s32,0.49807329227206926,0.5049196882352944,0.48232894479902694,0.48339607470511653,0.5117670570914622,0.49609701142059387,3
nearest_anchor,33,ends,0.49807329227206926,0.5049196882352944,0.48232894479902694,0.48339607470511653,0.5117670570914622,0.49609701142059387,2
nearest_anchor,33,rand1,0.49807329227206926,0.5049196882352944,0.48232894479902694,0.48339607470511653,0.5117670570914622,0.49609701142059387,3
nearest_anchor,33,rand3,0.49807329227206926,0.5049196882352944,0.48232894479902694,0.48339607470511653,0.5117670570914622,0.49609701142059387,5
