baseline,schedule_id,depth,acc,n
nearest_anchor_rc,s32,3,0.052249720039596936,3606
nearest_anchor_rc,s64,0,0.0,11
nearest_anchor_rc,s64,1,0.2835192874050103,3317
nearest_anchor_rc,s64,2,0.1433202231017914,35643
nearest_anchor_rc,s64,3,0.052249720039596936,3606
nearest_anchor_rc,s128,0,0.0,11
nearest_anchor_rc,s128,1,0.2835192874050103,3317
nearest_anchor_rc,s128,2,0.1433202231017914,35643
nearest_anchor_rc,s128,3,0.052249720039596936,3606
nearest_anchor_rc,ends,0,0.0,11
nearest_anchor_rc,ends,1,0.2835192874050103,3317
nearest_anchor_rc,ends,2,0.1433202231017914,35643
nearest_anchor_rc,ends,3,0.052249720039596936,3606
nearest_anchor_rc,rand1,0,0.0,11
nearest_anchor_rc,rand1,1,0.2835192874050103,3317
nearest_anchor_rc,rand1,2,0.1433202231017914,35643
nearest_anchor_rc,rand1,3,0.052249720039596936,3606
nearest_anchor_rc,rand3,0,0.0,11
nearest_anchor_rc,rand3,1,0.2835192874050103,3317
nearest_anchor_rc,rand3,2,0.1433202231017914,35643
nearest_anchor_rc,rand3,3,0.052249720039596936,3606
