baseline,dataset,horizon_frames,horizon_min,cycles,acc,n_scored,n_seq
chained_nearest_rc,sim_plus,128,3712.0,2.245614035087719,0.7142857142857143,28,1
nearest_anchor,hela,1,30.0,0.02631578947368421,0.9938270877497588,1690,2
nearest_anchor,hela,2,60.0,0.05263157894736842,0.992208187641658,1706,2
nearest_anchor,hela,4,120.0,0.10526315789473684,0.9810064258642177,1742,2
nearest_anchor,hela,8,240.0,0.21052631578947367,0.9449021627248274,1784,2
nearest_anchor,hela,16,480.0,0.42105263157894735,0.8711170338581139,1392,2
nearest_anchor,hela,32,960.0,0.8421052631578947,0.7279893911325899,1550,2
nearest_anchor,hela,64,1920.0,1.6842105263157894,0.5997269973689165,802,2
nearest_anchor,hsc,1,5.0,0.0020920502092050207,0.9882605820105821,280,2
nearest_anchor,hsc,2,10.0,0.0041841004184100415,0.9528819784969671,281,2
nearest_anchor,hsc,4,20.0,0.008368200836820083,0.7871534966643663,282,2
nearest_anchor,hsc,8,40.0,0.016736401673640166,0.6535297331492984,282,2
nearest_anchor,hsc,16,80.0,0.03347280334728033,0.42672212047212044,287,2
nearest_anchor,hsc,32,160.0,0.06694560669456066,0.33743402015460844,304,2
nearest_anchor,hsc,64,320.0,0.13389121338912133,0.17509440577522145,335,2
nearest_anchor,hsc,128,640.0,0.26778242677824265,0.19390151515151516,213,2
nearest_anchor,hsc,256,1280.0,0.5355648535564853,0.13545482295482295,271,2
nearest_anchor,hsc,512,2560.0,1.0711297071129706,0.08378310552223595,266,2
nearest_anchor,hsc,1024,5120.0,2.1422594142259412,0.20113475177304965,216,1
nearest_anchor,musc,1,5.0,0.00909090909090909,0.9481090128359035,151,2
nearest_anchor,musc,2,10.0,0.01818181818181818,0.9151465971003786,151,2
nearest_anchor,musc,4,20.0,0.03636363636363636,0.8591645446057212,156,2
nearest_anchor,musc,8,40.0,0.07272727272727272,0.6822148173463963,160,2
nearest_anchor,musc,16,80.0,0.14545454545454545,0.551600782258677,163,2
nearest_anchor,musc,32,160.0,0.2909090909090909,0.4428567507371855,167,2
nearest_anchor,musc,64,320.0,0.5818181818181818,0.30161989569884307,144,2
nearest_anchor,musc,128,640.0,1.1636363636363636,0.22272375457359977,126,2
nearest_anchor,musc,256,1280.0,2.327272727272727,0.18893151463483943,75,2
