dataset,split,baseline,schedule_id,sequence_id,acc,windows,n
one_in_a_million,train,nearest_anchor_rc,ends,M0,0.4836480665670875,18,7736
one_in_a_million,train,nearest_anchor_rc,ends,M1,0.5123556878439176,19,8521
one_in_a_million,train,nearest_anchor_rc,ends,M2,0.46496876343206467,21,10656
one_in_a_million,train,nearest_anchor_rc,s1,M0,0.4836480665670875,18,7736
one_in_a_million,train,nearest_anchor_rc,s1,M1,0.5123556878439176,19,8521
one_in_a_million,train,nearest_anchor_rc,s1,M2,0.46496876343206467,21,10656
one_in_a_million,validation,chained_lap,ends,M3,0.4936477336168695,19,8543
one_in_a_million,validation,chained_lap,s1,M3,0.8222554037113068,19,8543
one_in_a_million,validation,chained_lap_rc,ends,M3,0.46020461420877085,19,8543
one_in_a_million,validation,chained_lap_rc,s1,M3,0.7888228796539539,19,8543
one_in_a_million,validation,chained_nearest,ends,M3,0.3448484606839685,19,8543
one_in_a_million,validation,chained_nearest,s1,M3,0.8102570020777463,19,8543
one_in_a_million,validation,chained_nearest_rc,ends,M3,0.44371114155168456,19,8543
one_in_a_million,validation,chained_nearest_rc,s1,M3,0.7765099566699323,19,8543
one_in_a_million,validation,nearest_anchor,ends,M3,0.3448484606839685,19,8543
one_in_a_million,validation,nearest_anchor,s1,M3,0.3448484606839685,19,8543
one_in_a_million,validation,nearest_anchor_rc,ends,M3,0.44371114155168456,19,8543
one_in_a_million,validation,nearest_anchor_rc,s1,M3,0.44371114155168456,19,8543
sim_plus,sanity,chained_lap,ends,SIM-01,0.9534883720930233,1,43
sim_plus,sanity,chained_lap,ends,SIM-02,0.7678523833321435,4,111
sim_plus,sanity,chained_lap,s1,SIM-01,1.0,1,43
sim_plus,sanity,chained_lap,s1,SIM-02,0.9944444444444445,4,111
sim_plus,sanity,chained_lap_rc,ends,SIM-01,0.7674418604651163,1,43
sim_plus,sanity,chained_lap_rc,ends,SIM-02,0.6784060350776993,4,111
sim_plus,sanity,chained_lap_rc,s1,SIM-01,0.9534883720930233,1,43
sim_plus,sanity,chained_lap_rc,s1,SIM-02,0.910312105851836,4,111
sim_plus,sanity,chained_nearest,ends,SIM-01,0.8604651162790697,1,43
sim_plus,sanity,chained_nearest,ends,SIM-02,0.8849158753956355,4,111
sim_plus,sanity,chained_nearest,s1,SIM-01,1.0,1,43
sim_plus,sanity,chained_nearest,s1,SIM-02,0.9944444444444445,4,111
sim_plus,sanity,chained_nearest_rc,ends,SIM-01,0.813953488372093,1,43
sim_plus,sanity,chained_nearest_rc,ends,SIM-02,0.7240409557126198,4,111
sim_plus,sanity,chained_nearest_rc,s1,SIM-01,0.9534883720930233,1,43
sim_plus,sanity,chained_nearest_rc,s1,SIM-02,0.7791532805026058,4,111
sim_plus,sanity,nearest_anchor,ends,SIM-01,0.8604651162790697,1,43
sim_plus,sanity,nearest_anchor,ends,SIM-02,0.8849158753956355,4,111
sim_plus,sanity,nearest_anchor,s1,SIM-01,0.8604651162790697,1,43
sim_plus,sanity,nearest_anchor,s1,SIM-02,0.8849158753956355,4,111
sim_plus,sanity,nearest_anchor_rc,ends,SIM-01,0.813953488372093,1,43
sim_plus,sanity,nearest_anchor_rc,ends,SIM-02,0.7240409557126198,4,111
sim_plus,sanity,nearest_anchor_rc,s1,SIM-01,0.813953488372093,1,43
sim_plus,sanity,nearest_anchor_rc,s1,SIM-02,0.7240409557126198,4,111
